hospital,procedure_name,code_type,code,range_start,range_end,sample_line
Keck Hospital of USC,Appendectomy,DRG,341,80000000,89999999,"""Appendectomy Without Complicated Principal Diagnosis With Mcc"",""341"",""MS-DRG"","""","""","""","""","""","""",""facility"",""inpatient"","""","""","""","""","""",""Blue Shield"",""Calpers Other Commercial Plan"",""56285.69"","""","""","""","""","""","""",""fee schedule"",""42216.59"",""58628.99"","""""
Keck Hospital of USC,Cardiac catheterization,DRG,287,80000000,89999999,"""Circulatory Disorders Except Ami, With Cardiac Catheterization Without Mcc"",""287"",""MS-DRG"","""","""","""","""","""","""",""facility"",""inpatient"","""","""","""","""","""",""Aetna"",""Gatekeeper/Non-Gatekeeper All Commercial Plans"",""29647.12"","""","""","""","""","""","""",""fee schedule"",""13314.99"",""47346.57"","""""
Keck Hospital of USC,Vaginal delivery,DRG,807,100000000,109999999,"""Vaginal Delivery Without Sterilization Or D&C Without Cc/Mcc"",""807"",""MS-DRG"","""","""","""","""","""","""",""facility"",""inpatient"","""","""","""","""","""",""Aetna"",""Gatekeeper/Non-Gatekeeper All Commercial Plans"",""18678.71"","""","""","""","""","""","""",""fee schedule"",""8515.28"",""29829.98"","""""
Keck Hospital of USC,C-section,DRG,783,100000000,109999999,"""Cesarean Section With Sterilization With Mcc"",""783"",""MS-DRG"","""","""","""","""","""","""",""facility"",""inpatient"","""","""","""","""","""",""Aetna"",""Gatekeeper/Non-Gatekeeper All Commercial Plans"",""68018.55"","""","""","""","""","""","""",""fee schedule"",""30106.09"",""108625.9"","""""
Scripps Green Hospital,Colonoscopy,CPT,45378,0,9999999,"""HC Colonoscpy"",""PX-50200018"",""CDM"",""45378"",""CPT"",""0750"",""RC"","""","""",""both"","""","""",2997.98,749.49,""MEDICARE ADVANTAGE [442]"",""MEDICARE HMO/PPO SHGH"","""",1196.08,,""APC Price ($1,196.08). If the procedure is the highest rate for the service date, then the payment is multiplied by ( 1 plus (0.5 times the quantity minus 1 )) divided by the quantity. Otherwise the payment is multiplied by 0.5. If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.091). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($6,225) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement. The outlier sequestration will reduce the outlier payment to 98% of the original amount."",,,,""0"",""other"",170.35,2990.20,""OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file."""
Scripps Green Hospital,Cardiac catheterization,DRG,287,0,9999999,"""CIRCULATORY DISORDERS EXCEPT AMI, WITH CARDIAC CATHETERIZATION WITHOUT MCC"",""287"",""MS-DRG"","""","""","""","""","""","""",""inpatient"","""","""",149380.66,37345.16,""MEDICARE ADVANTAGE [442]"",""MEDICARE HMO/PPO SHGH"","""",10368.62,,""Case rate ($10,368.62). If operating cost, defined as billed amount less exclusions * an operating cost-to-charge ratio of 0.171, exceeds $10,991.10, add-ons for qualifying new technology services are included. If operating cost exceeds $59,225.80 plus the cost of any qualifying new technology services, the stay qualifies for an operating outlier of 80% of the excess amount. If capital cost, defined as billed amount less exclusions * a capital cost-to-charge ratio of 0.013, exceeds $4,518.26, the stay qualifies for a capital outlier of 80% of the excess amount. For transfer cases, the transfer adjustment factor is defined as (length of stay + 1) / 2.1. The base transfer operating payment is the transfer adjustment factor * $9,499.37. The transfer operating threshold is the transfer adjustment factor * $10,991.10 If operating cost exceeds the transfer operating threshold, add-ons for qualifying new technology services are included. If operating cost exceeds the transfer operating threshold + the cost of any qualifying new technology services, the stay qualifies for a transfer operating outlier of 80% of the excess amount. The base transfer capital payment is the transfer adjustment factor * $869.25. The transfer capital threshold is the transfer adjustment factor * $869.25. If the capital cost exceeds the transfer capital threshold, the stay qualifies for a transfer capital outlier of 80% of the excess amount. Reimbursement is multiplied by 99% as per the Hospital Acquired Conditions (HAC) program."",,,,""0"",""other"",8967.44,39601.19,""Inpatient DRG Zero final payments for the item or service in the 15 months prior to posting the file."""
Scripps Green Hospital,Brain MRI,CPT,70551,0,9999999,"""HC MR Brain WO"",""PX-60300059"",""CDM"",""70551"",""CPT"",""0611"",""RC"","""","""",""both"","""","""",3652.13,913.03,""MEDICARE ADVANTAGE [442]"",""MEDICARE HMO/PPO SHGH"","""",306.88,,""APC Price ($306.88). The procedure can be bundled into a composite APC if other services qualifying for that composite APC are present. If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.091). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($6,225) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement. The outlier sequestration will reduce the outlier payment to 98% of the original amount."",,,,""0"",""other"",118.68,2921.70,""OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file."""
Scripps Green Hospital,CT abdomen and pelvis,CPT,74176,0,9999999,"""HC CT Abdomen & Pelvis WO"",""PX-60200016"",""CDM"",""74176"",""CPT"",""0350"",""RC"","""","""",""both"","""","""",5827.20,1456.80,""MEDICARE ADVANTAGE [442]"",""MEDICARE HMO/PPO SHGH"","""",306.88,,""APC Price ($306.88). The procedure can be bundled into a composite APC if other services qualifying for that composite APC are present. If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.091). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($6,225) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement. The outlier sequestration will reduce the outlier payment to 98% of the original amount."",,,,""0"",""other"",95.94,4661.76,""OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file."""
Scripps Green Hospital,Emergency department visit,CPT,99285,0,9999999,"""HC ER Level V Trauma"",""PX-40500001"",""CDM"",""99285"",""CPT"",""0450"",""RC"","""","""",""both"","""","""",23622.75,5905.69,""MEDICARE ADVANTAGE [442]"",""MEDICARE HMO/PPO SHGH"","""",765.95,,""APC Price ($765.95). The procedure can be bundled into a comprehensive APC if other services qualifying for that comprehensive APC are present. If cost exceeds the threshold, the outlier payment is added to the expected reimbursement. Cost is calculated as the billed amount * the cost-to-charge ratio (0.091). The threshold is calculated as the maximum of the outlier multiplier threshold and the fixed threshold. The outlier multiplier threshold is the outlier multiplier factor (1.75) * adjusted APC rate for the line, and the fixed threshold is the outlier fixed-dollar threshold ($6,225) + adjusted APC rate for the line. If the cost is greater than the comparative threshold, then the outlier payment is calculated as 0.5 * (cost - outlier multiplier threshold) and is added to the expected reimbursement. The outlier sequestration will reduce the outlier payment to 98% of the original amount."",,,,""0"",""other"",172.27,21260.48,""OPPS APC Zero final payments for the item or service in the 15 months prior to posting the file."""
Sharp Chula Vista Medical Center,C-section,DRG,783,0,9999999,"CESAREAN SECTION WITH STERILIZATION WITH MCC,783,MS-DRG,,,,,,Inpatient,,,156034.80,117026.10,Multiplan,Multiplan,107664.01,,,,,,,percent of total billed charges,47590.61,127948.53,one or more instances of the item or service in the 12 months prior to posting the file"
Sharp Chula Vista Medical Center,Colonoscopy,CPT,45378,10000000,19999999,"HC COLONOSCOPY FLX DX W/COLLJ SPEC WHEN PFRMD - COLONOSCOPY,7504537801,CDM,750,RC,45378,CPT,UA,Outpatient,,,3383.00,2537.25,Managed Health Network,MHN - Medicare,2334.27,,,,,,,percent of total billed charges,1.00,2706.40,"
Sharp Chula Vista Medical Center,CT abdomen and pelvis,CPT,74176,10000000,19999999,"HC CT ABD & PELVIS W/O CONTRAST - CT ABDOMEN PELVIS WO CONTRAST,3527417601,CDM,352,RC,74176,CPT,,Outpatient,,,4640.00,3480.00,Community Health Group,Community Health Group - Medi-Cal,696.00,,,,,,,percent of total billed charges,696.00,3480.00,"
Sharp Chula Vista Medical Center,Emergency department visit,CPT,99285,10000000,19999999,"HC ER TYPE CRITICAL LT 30MIN,4509928502,CDM,450,RC,99285,CPT,,Inpatient,,,9500.00,7125.00,Epic Americas,AXA Assistance,4797.50,,,,,,,percent of total billed charges,2660.00,7790.00,"
Sharp Chula Vista Medical Center,Cardiac catheterization,DRG,287,20000000,29999999,"CIRCULATORY DISORDERS EXCEPT AMI WITH CARDIAC CATHETERIZATION WITHOUT MCC,287,MS-DRG,,,,,,Inpatient,,,88854.56,66640.92,Blue Cross,Blue Cross - MCS,42650.19,,,,,,,percent of total billed charges,13328.18,62198.19,one or more instances of the item or service in the 12 months prior to posting the file"
Sharp Chula Vista Medical Center,Brain MRI,CPT,70551,30000000,39999999,"HC MRI BRAIN - MRI BRAIN WO CONTRAST,6117055102,CDM,611,RC,70551,CPT,,Outpatient,,,4048.00,3036.00,San Diego Pace,San Diego Pace,2655.49,,,,,,,percent of total billed charges,1.15,3643.20,"
Sharp Chula Vista Medical Center,Vaginal delivery,DRG,807,80000000,89999999,"VAGINAL DELIVERY WITHOUT STERILIZATION OR D&C WITHOUT CC/MCC,807,MS-DRG,,,,,,Inpatient,,,33203.72,24902.79,United Healthcare,United Healthcare - Medicare,26562.98,,,,,,,percent of total billed charges,9297.04,32539.64,one or more instances of the item or service in the 12 months prior to posting the file"
