hospital,procedure_name,code_type,code,range_start,range_end,match_offset,sample_text
UC San Diego Medical Center,Cardiac catheterization,DRG,287,80000000,99999999,5022943,"tor * $20,464.59 + an uncompensated DSH payment of $789.11. If operating cost exceeds the transfer operating threshold, add-ons for qualifying new technology services are included. If operating cost exceeds the transfer operating threshold + the cost of any qualifying new technology services, the stay qualifies for a transfer operating outlier of 80% of the excess amount. The base transfer capital payment is the transfer adjustment factor * $1,624.62. The transfer capital threshold is the transfer adjustment factor * $1,624.62. If the capital cost exceeds the transfer capital threshold, the stay qualifies for a transfer capital outlier of 80% of the excess amount."",""methodology"":""other"",""count"":""0"",""additional_payer_notes"":""All Inpatient Services Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":23039.58}]}]}
,{""description"":""Circulatory Disorders Except Ami, With Cardiac Catheterization Without McC"",""code_information"":[{""code"":""287"",""type"":""MS-DRG""},{""code"":""287"",""type"":""TRIS-DRG""}],""standard_charges"":[{""minimum"":1.07,""maximum"":27397.40,""gross_charge"":65349.62,""discounted_cash"":35942.29,""setting"":""inpatient"",""payers_information"":[{""payer_name"":""BLUE CROSS [1013]"",""plan_name"":""ANTHEM BLUE CROSS EPO [10130074]"",""standard_charge_algorithm"":""Per diem ($19,889)."",""methodology"":""per diem"",""median_amount"":120493.67,""10th_percentile"":120493.67,""90th_percentile"":120493.67,""count"":""1 through 10"",""additional_payer_notes"":""Estimated amount calculated based on 2 day length of stay."",""standard_charge_dollar"":19889.00},{""payer_name"":""HEALTHCARE PARTNERS [2073]"",""plan_name"":""UCSD HB MEDICARE ADVANTAGE OTHER (NON-CONTRACTED)"",""standard_charge_algorithm"":""Case rate ($11,549.32). If operating cost, defined as billed amount less exclusions * an operating cost-to-charge ratio of 0.227, exceeds $10,685.69, add-ons for qualifying new technology services are included. If operating cost exceeds $59,370.31 plus the cost of any qualifying new technology services, the stay qualifies for an operating outlier of 80% of the excess amount. If capital cost, defined as billed amount less exclusions * a capital cost-to-charge ratio of 0.015, exceeds $3,986.95, the stay qualifies for a capital outlier of 80% of the excess amount. For transfer cases, the transfer adjustment factor is defined as (length of stay + 1) \/ 2.1. The base transfer operating payment is the transfer adjustment factor * $9,974.57 + an uncompensated DSH payment of $789.11. The transfer operating threshold is the transfer adjustment factor * $9,896.58 + an uncompensated DSH payment of $789.11. If operating cost exceeds the transfer operating threshold, add-ons for qualifying new technology services are included. If operating cost exceeds the transfer operating threshold + the cost of any qualifying new technology services, the stay qualifies for a transfer operating outlier of 80% of the excess amount. The base transfer capital payment is the tra"
UC San Diego Medical Center,C-section,DRG,783,220000000,239999999,12275177,"shold is the transfer adjustment factor * $7,780.58 + an uncompensated DSH payment of $789.11. If operating cost exceeds the transfer operating threshold, add-ons for qualifying new technology services are included. If operating cost exceeds the transfer operating threshold + the cost of any qualifying new technology services, the stay qualifies for a transfer operating outlier of 80% of the excess amount. The base transfer capital payment is the transfer adjustment factor * $617.67. The transfer capital threshold is the transfer adjustment factor * $617.67. If the capital cost exceeds the transfer capital threshold, the stay qualifies for a transfer capital outlier of 80% of the excess amount."",""methodology"":""other"",""count"":""0"",""additional_payer_notes"":""All Inpatient Services Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":9248.67}]}]}
,{""description"":""Cesarean Section With Sterilization With McC"",""code_information"":[{""code"":""783"",""type"":""MS-DRG""},{""code"":""783"",""type"":""TRIS-DRG""}],""standard_charges"":[{""minimum"":2.46,""maximum"":57744.25,""gross_charge"":97580.87,""discounted_cash"":53669.48,""setting"":""inpatient"",""payers_information"":[{""payer_name"":""MC CIGNA GENERIC PAYOR [164007]"",""plan_name"":""UC MANAGED CARE "",""standard_charge_percentage"":12.00,""methodology"":""percent of total billed charges"",""count"":""0"",""additional_payer_notes"":""Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":11709.70},{""payer_name"":""UNITED HEALTHCARE [1088]"",""plan_name"":""HERITAGE PROVIDER NETWORK, INC MEDICARE ADVANTAGE"",""standard_charge_algorithm"":""Case rate ($30,940.23). If operating cost, defined as billed amount less exclusions * an operating cost-to-charge ratio of 0.233, exceeds $28,666.44, add-ons for qualifying new technology services are included. If operating cost exceeds $77,825.33 plus the cost of any qualifying new technology services, the stay qualifies for an operating outlier of 80% of the excess amount. If capital cost, defined as billed amount less exclusions * a capital cost-to-charge ratio of 0.013, exceeds $4,824.21, the stay qualifies for a capital outlier of 80% of the excess amount. For transfer cases, the transfer adjustment factor is defined as (length of stay + 1) \/ 4.9. The base transfer operating payment is the transfer adjustment factor * $28,056.25 + an uncompensated DSH payment of $789.11. The transfer operating threshold is the transfer adjustment factor * $27,877.33 + an uncompensated DSH payment of $789.11. If operating cost exceeds the transfer operating threshold, add-ons for qualifying new technology services are included. If operating cost exceeds the transfer operating threshold + the cost of any qualifying new technology services, the stay qualifies for a transfer operating outlier of 80% of the excess amount. The base transfer capital payment is the transfer adjustment factor * $2,094.87. The transfer capital "
UC San Diego Medical Center,Vaginal delivery,DRG,807,240000000,259999999,2560487,"sfer adjustment factor * $6,973.20 + an uncompensated DSH payment of $789.11. If operating cost exceeds the transfer operating threshold, add-ons for qualifying new technology services are included. If operating cost exceeds the transfer operating threshold + the cost of any qualifying new technology services, the stay qualifies for a transfer operating outlier of 80% of the excess amount. The base transfer capital payment is the transfer adjustment factor * $553.58. The transfer capital threshold is the transfer adjustment factor * $553.58. If the capital cost exceeds the transfer capital threshold, the stay qualifies for a transfer capital outlier of 80% of the excess amount."",""methodology"":""other"",""count"":""0"",""additional_payer_notes"":""All Inpatient Services Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":8370.84}]}]}
,{""description"":""Vaginal Delivery Without Sterilization Or D&C Without Cc\/McC"",""code_information"":[{""code"":""807"",""type"":""MS-DRG""},{""code"":""807"",""type"":""TRIS-DRG""}],""standard_charges"":[{""minimum"":0.67,""maximum"":17830.61,""gross_charge"":31911.92,""discounted_cash"":17551.56,""setting"":""inpatient"",""payers_information"":[{""payer_name"":""VA - VETERANS ADMINISTRATION [1093]"",""plan_name"":""VA PATIENT CENTERED COMMUNITY CARE (PCCC) TRIWEST"",""standard_charge_algorithm"":""Case rate ($9,143.90). If operating cost, defined as billed amount less exclusions * an operating cost-to-charge ratio of 0.227, exceeds $8,516.65, add-ons for qualifying new technology services are included. If operating cost exceeds $57,201.27 plus the cost of any qualifying new technology services, the stay qualifies for an operating outlier of 80% of the excess amount. If capital cost, defined as billed amount less exclusions * a capital cost-to-charge ratio of 0.015, exceeds $3,779.42, the stay qualifies for a capital outlier of 80% of the excess amount. For transfer cases, the transfer adjustment factor is defined as (length of stay + 1) \/ 2. The base transfer operating payment is the transfer adjustment factor * $7,776.67 + an uncompensated DSH payment of $789.11. The transfer operating threshold is the transfer adjustment factor * $7,727.54 + an uncompensated DSH payment of $789.11. If operating cost exceeds the transfer operating threshold, add-ons for qualifying new technology services are included. If operating cost exceeds the transfer operating threshold + the cost of any qualifying new technology services, the stay qualifies for a transfer operating outlier of 80% of the excess amount. The base transfer capital payment is the transfer adjustment factor * $578.12. The transfer capital threshold is the transfer adjustment factor * $578.12. If the capital cost exceeds the transfer capital threshold, the stay qualifies for a transfer capital outlier of 80% of the excess amount. Includes a variable per diem for days 0-9999: RC 0100:0179 @ $1,237.79; RC 0200:0219 @ $1,237.79."",""methodology"":""other"",""count"
UC San Diego Medical Center,Colonoscopy,CPT,45378,400000000,419999999,1656106,"tes"":""Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":4346.67},{""payer_name"":""CMN - CANADIAN MEDICAL NETWORK [1024]"",""plan_name"":""CMN GLOBAL INC"",""standard_charge_percentage"":65.00,""methodology"":""percent of total billed charges"",""count"":""0"",""additional_payer_notes"":""Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":4216.92},{""payer_name"":""BRAND NEW DAY [1089]"",""plan_name"":""UCSD HB NON-CONTRACTED MEDI-CAL MANAGED CARE"",""standard_charge_percentage"":10.00,""standard_charge_algorithm"":""10% of billed."",""methodology"":""percent of total billed charges"",""count"":""0"",""additional_payer_notes"":""Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":648.76}]}]}
,{""description"":""Colorectal Cancer Screening Colonoscopy On Individual Not Meeting Criteria Forhigh Risk"",""code_information"":[{""code"":""0361"",""type"":""RC""},{""code"":""45378"",""type"":""CPT""},{""code"":""CASE-45378"",""type"":""LOCAL""}],""standard_charges"":[{""minimum"":50.00,""maximum"":10382.01,""gross_charge"":8014.73,""discounted_cash"":4408.10,""setting"":""outpatient"",""payers_information"":[{""payer_name"":""UC AFF HUMANA\/SDSM [164025]"",""plan_name"":""UC MANAGED CARE "",""standard_charge_percentage"":12.00,""methodology"":""percent of total billed charges"",""count"":""0"",""additional_payer_notes"":""Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":961.77},{""payer_name"":""HEALTH NET BH (MHN) [1038]"",""plan_name"":""HEALTH NET BEHAVIORAL HEALTH COMMERCIAL (FKA:MANAGED HEALTH NETWORK,INC)"",""standard_charge_percentage"":65.00,""methodology"":""percent of total billed charges"",""count"":""0"",""additional_payer_notes"":""Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":5209.57},{""payer_name"":""AETNA [1003]"",""plan_name"":""AETNA"",""standard_charge_percentage"":50.60,""methodology"":""percent of total billed charges"",""median_amount"":3602.09,""10th_percentile"":1969.86,""90th_percentile"":4484.15,""count"":""55"",""additional_payer_notes"":""undefined"",""standard_charge_dollar"":4055.45},{""payer_name"":""MGM RESORTS [1053]"",""plan_name"":""MGM RESORT"",""standard_charge_percentage"":65.00,""methodology"":""percent of total billed charges"",""count"":""0"",""additional_payer_notes"":""Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":5209.57},{""payer_name"":""MEDI-CAL [1048]"",""plan_name"":""MEDI-CAL "",""standard_charge_algorithm"":""Fee schedule rate ($50)."",""methodology"":""fee schedule"",""count"":""0"",""additional_payer_notes"":""Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":50.00},{""payer_name"":""MC UHC HARMONY HMO [164026]"",""plan_name"":""UC MANAGED CARE "",""standard_charge_percentage"":12.00,""methodology"":""percent of total billed charges"",""count"":""0"",""additional_payer_notes"":"
UC San Diego Medical Center,Emergency department visit,CPT,99285,440000000,459999999,18415979," total billed charges"",""count"":""0"",""additional_payer_notes"":""Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":5684.34},{""payer_name"":""EMBASSY SPONSORED [1101]"",""plan_name"":""KUWAIT OIL COMPANY [11010005]"",""standard_charge_percentage"":68.00,""methodology"":""percent of total billed charges"",""count"":""0"",""additional_payer_notes"":""Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":5684.34},{""payer_name"":""MC UNITED HEALTHCARE GENERIC PAYOR [164011]"",""plan_name"":""UC MANAGED CARE "",""standard_charge_percentage"":12.00,""methodology"":""percent of total billed charges"",""count"":""0"",""additional_payer_notes"":""Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":1003.12}]}]}
,{""description"":""Emergency department visit, problem with significant threat to life or function"",""code_information"":[{""code"":""0450"",""type"":""RC""},{""code"":""99285"",""type"":""CPT""},{""code"":""CASE-99285"",""type"":""LOCAL""}],""standard_charges"":[{""minimum"":16.83,""maximum"":779.00,""gross_charge"":14734.30,""discounted_cash"":8103.87,""setting"":""outpatient"",""payers_information"":[{""payer_name"":""HEALTHNET TRANSPLANTS [1114]"",""plan_name"":""HEALTH NET COMMERCIAL"",""standard_charge_percentage"":74.20,""standard_charge_algorithm"":""74.2% of billed."",""methodology"":""percent of total billed charges"",""count"":""0"",""additional_payer_notes"":""Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":10932.85},{""payer_name"":""NATIONAL HEALTHCARE SOLUTIONS INC [1100]"",""plan_name"":""NATIONAL HEALTHCARE SOLUTIONS INC [11000001]"",""standard_charge_percentage"":65.00,""methodology"":""percent of total billed charges"",""count"":""0"",""additional_payer_notes"":""Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":9577.30},{""payer_name"":""PACIFIC FOUNDATION [1063]"",""plan_name"":""PACIFIC FOUNDATION FOR MEDICAL CARE"",""standard_charge_percentage"":70.00,""methodology"":""percent of total billed charges"",""count"":""0"",""additional_payer_notes"":""Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":10314.01},{""payer_name"":""ALTERNATE UNITED HEALTHCARE [1008]"",""plan_name"":""OPTUM HEALTHCARE SOLUTIONS"",""standard_charge_percentage"":49.70,""methodology"":""percent of total billed charges"",""count"":""0"",""additional_payer_notes"":""Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":7322.95},{""payer_name"":""ALTERNATE CIGNA [1006]"",""plan_name"":""EVERNORTH (FKA CIGNA) BEHAVIORAL AND EATING DISORDER TREATMENT"",""standard_charge_percentage"":55.20,""methodology"":""percent of total billed charges"",""count"":""0"",""additional_payer_notes"":""Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":8133.33},{""payer_name"":""BLU"
UC San Diego Medical Center,Brain MRI,CPT,70551,540000000,559999999,171233,"te ($339.06)."",""methodology"":""fee schedule"",""count"":""0"",""additional_payer_notes"":""Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":339.06},{""payer_name"":""ALTERNATE MOLINA [1240]"",""plan_name"":""MOLINA MEDI-CAL"",""standard_charge_algorithm"":""Fee schedule rate ($427.22)."",""methodology"":""fee schedule"",""count"":""0"",""additional_payer_notes"":""Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":427.22},{""payer_name"":""IMPERIAL HEALTH HOLDINGS [1132]"",""plan_name"":""UCSD HB NON-CONTRACTED MEDI-CAL MANAGED CARE"",""standard_charge_algorithm"":""Fee schedule rate ($339.06)."",""methodology"":""fee schedule"",""count"":""0"",""additional_payer_notes"":""Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":339.06}]}]}
,{""description"":""Mri Scan Brain"",""code_information"":[{""code"":""PX-00001432"",""type"":""CDM""},{""code"":""0611"",""type"":""RC""},{""code"":""70551"",""type"":""CPT""}],""standard_charges"":[{""minimum"":169.43,""maximum"":4353.75,""gross_charge"":3225.00,""discounted_cash"":1773.75,""setting"":""both"",""payers_information"":[{""payer_name"":""OPTUM TRANSPLANT [1118]"",""plan_name"":""OPTUM HEALTHCARE SOLUTIONS"",""standard_charge_percentage"":49.70,""methodology"":""percent of total billed charges"",""count"":""0"",""additional_payer_notes"":""Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":1602.83},{""payer_name"":""ALTERNATE HEALTH NET BH [2059]"",""plan_name"":""HEALTH NET COMMERCIAL"",""standard_charge_percentage"":66.10,""methodology"":""percent of total billed charges"",""count"":""0"",""additional_payer_notes"":""Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":2131.73},{""payer_name"":""ARCH HEALTH PARTNERS [2000]"",""plan_name"":""ARCH HEALTH PARTNERS [20000001]"",""standard_charge_percentage"":65.00,""methodology"":""percent of total billed charges"",""count"":""0"",""additional_payer_notes"":""Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":2096.25},{""payer_name"":""CALIFORNIA DEPARTMENT OF PUBLIC HEALTH [1237]"",""plan_name"":""UCSD HB NON-CONTRACTED MEDI-CAL MANAGED CARE"",""standard_charge_algorithm"":""Fee schedule rate ($272.77)."",""methodology"":""fee schedule"",""count"":""0"",""additional_payer_notes"":""Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":272.77},{""payer_name"":""MC AETNA HMO [164001]"",""plan_name"":""UC MANAGED CARE "",""standard_charge_percentage"":12.00,""methodology"":""percent of total billed charges"",""count"":""0"",""additional_payer_notes"":""Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":387.00},{""payer_name"":""CAL OPTIMA [1016]"",""plan_name"":""CalOptima Medi-Cal"",""standard_charge_algorithm"":""Fee schedule rate ($395.51)."",""methodology"":""fee schedule"",""cou"
UC San Diego Medical Center,CT abdomen and pelvis,CPT,74176,540000000,559999999,9217535,"ogy"":""percent of total billed charges"",""count"":""0"",""additional_payer_notes"":""Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":2182.25},{""payer_name"":""ALTERNATE BLUE SHIELD [2002]"",""plan_name"":""BLUE SHIELD OF CA HMO"",""standard_charge_percentage"":60.40,""methodology"":""percent of total billed charges"",""count"":""0"",""additional_payer_notes"":""Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":2182.25},{""payer_name"":""PADRES [2014]"",""plan_name"":""GLOBAL SPORTS SERVICES PROVIDER ALLIANCE (PADRES)"",""standard_charge_percentage"":16.10,""methodology"":""percent of total billed charges"",""count"":""0"",""additional_payer_notes"":""Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":581.69}]}]}
,{""description"":""Ct Scan Of Abdomen And Pelvis"",""code_information"":[{""code"":""PX-00001595"",""type"":""CDM""},{""code"":""0352"",""type"":""RC""},{""code"":""74176"",""type"":""CPT""}],""standard_charges"":[{""minimum"":131.26,""maximum"":4178.25,""gross_charge"":3095.00,""discounted_cash"":1702.25,""setting"":""both"",""payers_information"":[{""payer_name"":""MC HUMANA HMO [164013]"",""plan_name"":""UC MANAGED CARE "",""standard_charge_percentage"":12.00,""methodology"":""percent of total billed charges"",""count"":""0"",""additional_payer_notes"":""Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":371.40},{""payer_name"":""SCRIPPS HEALTH PLAN SERVICES [1075]"",""plan_name"":""SCRIPPS CLINIC HEALTH PLAN SERVICES"",""standard_charge_percentage"":80.00,""methodology"":""percent of total billed charges"",""count"":""0"",""additional_payer_notes"":""Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":2476.00},{""payer_name"":""CIGNA [1023]"",""plan_name"":""CIGNA LIFESOURCE [10230006]"",""standard_charge_percentage"":60.00,""methodology"":""percent of total billed charges"",""median_amount"":1857.00,""10th_percentile"":1688.40,""90th_percentile"":1857.00,""count"":""1 through 10"",""additional_payer_notes"":""undefined"",""standard_charge_dollar"":1857.00},{""payer_name"":""VANTAGE [1092]"",""plan_name"":""PROSPECT VANTAGE MEDICAL GROUP MEDI-CAL"",""standard_charge_algorithm"":""Fee schedule rate ($174.31)."",""methodology"":""fee schedule"",""count"":""0"",""additional_payer_notes"":""Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":174.31},{""payer_name"":""MC HUMANA GENERIC PAYOR [164014]"",""plan_name"":""UC MANAGED CARE "",""standard_charge_percentage"":12.00,""methodology"":""percent of total billed charges"",""count"":""0"",""additional_payer_notes"":""Zero final payments for the item or service in the 15 months prior to posting the file."",""standard_charge_dollar"":371.40},{""payer_name"":""ALTERNATE BLUE CROSS [1005]"",""plan_name"":""ANTHEM BLUE CROSS"",""standard_charge_percentage"":55.97,""methodology"":""percent of total billed charges"",""count"":""0"",""additional_paye"
