procedure_name,code_type,procedure_code,rows,hospitals,cash_hospitals,negotiated_hospitals
MRI brain,,,0,0,0,0
Colonoscopy,CPT,45378,4,4,1,3
Colonoscopy,HCPCS,G0121,1,1,0,1
Screening colonoscopy,,,0,0,0,0
Emergency department visit,CPT,99285,4,4,2,2
Appendectomy,CPT,44970,1,1,1,0
Appendectomy,DRG,341,4,4,0,4
Appendectomy (inpatient),,,0,0,0,0
C-section,DRG,783,3,3,0,3
Vaginal delivery,DRG,807,3,3,1,2
Hip replacement,DRG,470,5,5,0,5
Knee replacement,DRG,470,5,5,0,5
Cardiac catheterization,DRG,287,4,4,1,3
